,restaurant_name,avg_rating,special_diets,price_level,cuisines,address,ZIP
0,Top Lokal,4.0,Vegetarian Friendly,€,"['Austrian', 'European']","Fleischmarkt 18, Vienna 1010 Austria",1010
1,Tandoor - Indisches Restaurant,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Indian'],"Burggasse 19 1070 Vienna, Vienna 1070 Austria",1070
2,Burger's Bar Wien,4.0,Vegetarian Friendly,€€-€€€,"['American', 'Bar', 'Fast food', 'Street Food']","Vorgartenstrasse 204, Vienna 1020 Austria",1020
3,Rauch Juice Bar Herrengasse,4.5,"Vegetarian Friendly, Vegan Options",€,"['Healthy', 'Bar', 'Pub']","Herrengasse 6-8, Vienna 1010 Austria",1010
4,Cafe Leo Seestadt Aspern,3.5,Vegetarian Friendly,€,"['Cafe', 'European']","Maria-Tusch-Strasse 13/2 Riederich, Vienna 1220 Austria",1220
5,Banh Mi Vienna,4.5,"Vegetarian Friendly, Vegan Options",€,['Vietnamese'],"Faulmanngasse 1, Vienna 1040 Austria",1040
6,Pizzeria da Salvatore,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean']","Hietzinger Hauptstrasse 153, Vienna 1130 Austria",1130
7,Alto,4.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza']","Dornbacher Strasse 88, Vienna 1170 Austria",1170
8,Servus Am Platz'l,4.5,Vegetarian Friendly,€,"['Austrian', 'European']","Uhlplatz 5, Vienna 1080 Austria",1080
9,Eissalon Zanoni & Facincani,3.0,Vegetarian Friendly,€€-€€€,['Deli'],"Waehringer Guertel 3, Vienna 1180 Austria",1180
10,Campus Bräu,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Wiedner Guertel 1, Vienna 1100 Austria",1100
11,Da Ferdinando,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Neapolitan', 'Campania', 'Southern-Italian']","Hietzinger Hauptstrasse 26, Vienna 1130 Austria",1130
12,Mr Schnitzel,4.5,Vegetarian Friendly,€,"['German', 'Austrian', 'Fast food', 'European', 'Central European']","Mariahilfer Strasse 155, Vienna 1150 Austria",1150
13,Mamamon Thai Eatery,3.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Thai', 'Asian']","Albertgasse 15, Vienna 1080 Austria",1080
14,Cafe & Restaurant Coretto,5.0,Vegetarian Friendly,€€-€€€,"['Mediterranean', 'Healthy', 'Austrian', 'European']","Forsthausgasse 15 Corner Leystrasse, Vienna 1200 Austria",1200
15,motiWirt!n,4.5,Vegetarian Friendly,€,"['Austrian', 'European', 'Central European']","Berggasse 7, Vienna 1090 Austria",1090
16,Spumante Ristorante,3.5,Vegetarian Friendly,€€-€€€,"['European', 'Italian', 'Mediterranean']","Gersthofer Strasse 71, Vienna 1180 Austria",1180
17,Natsu Sushi,4.0,Vegetarian Friendly,€,"['Japanese', 'Sushi', 'Asian']","Burggasse 71 1070 Vienna, Vienna 1070 Austria",1070
18,Griechenbeisl,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['European', 'Austrian']","Fleischmarkt 11 Griechengasse 9, Vienna 1010 Austria",1010
19,Café Am Hof,4.5,Vegetarian Friendly,€€-€€€,"['Cafe', 'Central European', 'Austrian', 'European']","Am Hof 2, Vienna 1010 Austria",1010
20,Café Benedikt,5.0,Vegetarian Friendly,€,"['Austrian', 'Cafe', 'European', 'Central European']","Sechskruegelgasse 2, Vienna 1030 Austria",1030
21,Schreiners Essen und Wohnen,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'International', 'Central European']","Westbahnstrasse 42 1070 Vienna, Vienna 1070 Austria",1070
22,Wasabi Sushi & Wok Restaurant,4.5,"Vegetarian Friendly, Gluten Free Options, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian', 'Korean', 'Fusion']","Kegelgasse 30 1-3, Vienna 1030 Austria",1030
23,Restaurant Schwabl,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Schoenbrunner Strasse 250, Vienna 1120 Austria",1120
24,pancho,3.5,Vegetarian Friendly,€€-€€€,"['Mexican', 'Central American']","Blumauergasse 1a 1020 Vienna, Vienna 1020 Austria",1020
25,Amador,4.5,Vegetarian Friendly,€€€€,['European'],"Grinzinger Strasse 86, Vienna 1190 Austria",1190
26,Gorilla Kitchen,4.5,"Vegetarian Friendly, Vegan Options",€,"['Mexican', 'Fast food', 'South American', 'Central American']","Gusshausstrasse 19, Vienna 1040 Austria",1040
27,Mostlandl,4.5,Vegetarian Friendly,€,"['Austrian', 'European', 'Central European', 'German']","Heinestrasse 30, Vienna 1020 Austria",1020
28,Restaurant Fuhrmann,4.0,Vegetarian Friendly,€€€€,"['European', 'Central European']","Fuhrmannsgasse 9, Vienna 1080 Austria",1080
29,Phoenixhof,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Deli', 'International', 'Pub']","Neustiftgasse 55, Vienna 1070 Austria",1070
30,Yang - Chinese restaurant,4.0,Vegetarian Friendly,€€-€€€,"['Chinese', 'Asian']","Weinberggasse, Vienna 1190 Austria",1190
31,Zanoni & Zanoni,4.5,Vegetarian Friendly,€,"['Italian', 'Cafe']","Lugeck 7, Vienna 1010 Austria",1010
