restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g190454-d10019850,Top Lokal,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Fleischmarkt 18, Vienna 1010 Austria",48.21054,16.37713,Unclaimed,,#1303 of 3747 Restaurants in Vienna,#1459 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European, Vegetarian Friendly",€,,"Lunch, Dinner, Breakfast, Brunch","Austrian, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [], ""Sun"": []}",5.0,70.0,5.0,4.0,27.0,English,8.0,1.0,4.0,3.0,0.0,0.0,4.0,4.0,4.0,,
g190454-d10022460,Genussgalerie,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gertrudplatz 3 Am Kutschkermarkt, Vienna 1180 Austria",48.22551,16.34442,Unclaimed,,#3192 of 3747 Restaurants in Vienna,#3579 of 4650 places to eat in Vienna,International,,,,International,,,N,N,N,,,,,5.0,1.0,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10023664,Tandoor - Indisches Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Burggasse 19 1070 Vienna, Vienna 1070 Austria",48.2042,16.355,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018",#1170 of 3747 Restaurants in Vienna,#1307 of 4650 places to eat in Vienna,"Mid-range, Indian, Vegetarian Friendly, Vegan Options",€€-€€€,€15-€25,,Indian,"Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:30-14:30"", ""18:00-22:00""], ""Tue"": [""11:30-14:30"", ""18:00-22:00""], ""Wed"": [""11:30-14:30"", ""18:00-22:00""], ""Thu"": [""11:30-14:30"", ""18:00-22:00""], ""Fri"": [""11:30-14:30"", ""18:00-22:00""], ""Sat"": [""18:00-22:00""], ""Sun"": []}",6.0,39.0,11.0,4.5,66.0,English,35.0,23.0,7.0,0.0,2.0,3.0,4.5,4.5,4.5,,
g190454-d10025774,Burger's Bar Wien,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Vorgartenstrasse 204, Vienna 1020 Austria",48.21701,16.411053,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017",#606 of 3747 Restaurants in Vienna,#685 of 4650 places to eat in Vienna,"Mid-range, American, Bar, Fast food",€€-€€€,€5-€15,,"American, Bar, Fast food, Street Food",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:55""], ""Tue"": [""11:00-23:55""], ""Wed"": [""11:00-23:55""], ""Thu"": [""11:00-23:55""], ""Fri"": [""11:00-23:55""], ""Sat"": [""11:00-23:55""], ""Sun"": [""11:00-23:55""]}",7.0,90.41666666666669,7.0,4.0,149.0,English,51.0,29.0,13.0,5.0,1.0,3.0,4.0,4.0,4.0,,
g190454-d10025956,Vino Vinothek-Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Teinfaltstrasse 9, Vienna 1010 Austria",48.21121,16.36248,Unclaimed,,#38 of 78 Bars & Pubs in Vienna,#2057 of 4650 places to eat in Vienna,"Bar, Pub, Wine Bar, Gastropub",,,,"Bar, Pub, Gastropub, Wine Bar",,"Seating, Reservations, Table Service",N,N,N,,,,,4.5,11.0,English,4.0,2.0,1.0,1.0,0.0,0.0,,,,,
g190454-d10026341,Rauch Juice Bar Herrengasse,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Herrengasse 6-8, Vienna 1010 Austria",48.20934,16.36646,Claimed,,#81 of 156 Dessert Spots in Vienna,#1512 of 4650 places to eat in Vienna,"Cheap Eats, Dessert, Bar, Pub",€,€2-€12,,"Healthy, Bar, Pub","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""07:45-18:00""], ""Tue"": [""07:45-18:00""], ""Wed"": [""07:45-18:00""], ""Thu"": [""07:45-18:00""], ""Fri"": [""07:45-18:00""], ""Sat"": [""09:00-18:00""], ""Sun"": []}",6.0,60.25,6.0,4.5,18.0,English,10.0,5.0,4.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g190454-d10026346,Goldfisch,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Lerchenfelder Strasse 16, Vienna 1080 Austria",48.206406,16.35209,Claimed,Certificate of Excellence 2017,#1268 of 3747 Restaurants in Vienna,#1417 of 4650 places to eat in Vienna,"Mid-range, Seafood, European",€€-€€€,€6-€25,"Lunch, Dinner, Drinks","Seafood, European",,,N,N,N,"{""Mon"": [], ""Tue"": [""10:30-22:00""], ""Wed"": [""10:30-22:00""], ""Thu"": [""10:30-22:00""], ""Fri"": [""10:30-22:00""], ""Sat"": [""09:30-13:00""], ""Sun"": []}",5.0,49.5,5.0,4.0,54.0,English,8.0,5.0,1.0,0.0,1.0,1.0,4.5,4.0,4.0,,
g190454-d10026472,Bonbonniere,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Spiegelgasse 15, Vienna 1010 Austria",48.2067,16.36989,Unclaimed,,#2579 of 3747 Restaurants in Vienna,#2904 of 4650 places to eat in Vienna,Mid-range,€€-€€€,,,,,"Table Service, Seating",N,N,N,,,,,3.5,17.0,English,4.0,2.0,0.0,0.0,0.0,2.0,,3.5,3.0,,
g190454-d10026670,Ouzaki,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Schlachthausgasse 16, Vienna 1030 Austria",48.19524,16.40764,Claimed,,#1830 of 3747 Restaurants in Vienna,#2062 of 4650 places to eat in Vienna,"Mid-range, Mediterranean, Greek",€€-€€€,,"Lunch, Dinner","Mediterranean, Greek",,Reservations,N,N,N,"{""Mon"": [], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-21:00""]}",6.0,70.0,6.0,5.0,10.0,English,4.0,4.0,0.0,0.0,0.0,0.0,5.0,4.5,4.5,,
g190454-d10027294,Gasthaus Schmid,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Kollburggasse 4, Vienna 1160 Austria",48.21619,16.30116,Unclaimed,,#2136 of 3747 Restaurants in Vienna,#2397 of 4650 places to eat in Vienna,Cheap Eats,€,,,,,Reservations,N,N,N,,,,,4.5,8.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10027330,Cafe Leo Seestadt Aspern,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Maria-Tusch-Strasse 13/2 Riederich, Vienna 1220 Austria",48.22467,16.49842,Claimed,,#2430 of 3747 Restaurants in Vienna,#2733 of 4650 places to eat in Vienna,"Cheap Eats, Cafe, European, Vegetarian Friendly",€,,Breakfast,"Cafe, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""06:00-18:30""], ""Tue"": [""06:00-18:30""], ""Wed"": [""06:00-18:30""], ""Thu"": [""06:00-18:30""], ""Fri"": [""06:00-18:30""], ""Sat"": [""06:00-17:00""], ""Sun"": [""07:30-17:00""]}",7.0,83.0,7.0,3.5,31.0,English,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,,
